@relation 'citation'
@attribute _id integer
@attribute 2000 real
@attribute 2001 real
@attribute 2002 real
@attribute 2003 real
@attribute 2004 real
@attribute 2005 real
@attribute 2006 real
@attribute 2007 real
@attribute 2008 real
@attribute 2009 real
@attribute average_average_citation real
@attribute average_citation real
@attribute average_coauthor real
@attribute average_publication real
@attribute cs_average_ranking_percentile real
@attribute journal_count_percentage real
@attribute max_average_citation real
@attribute max_citation real
@attribute max_coauthor real
@attribute max_publication real
@attribute non_cs_average_ranking_percentile real
@attribute outside_cs_percentage real
@attribute tire_1_count real
@attribute tire_1_percentage real
@attribute tire_2_count real
@attribute tire_2_percentage real
@attribute venue_average_citation real
@attribute venue_ranking_percentile real
@attribute venue_type {'Journal', 'Conference', 'Unknown'}
@attribute label {-1, 1}

@data
188 , 45 , 43 , 60 , 56 , 72 , 68 , 85 , 62 , 66 , 78 , 6.25814863103 , 144.0 , 259.0 , 23.0 , 12.7663286292 , 0.36876817247 , 6.25814863103 , 144 , 259 , 23 , 18.1634877384 , 0.0724294454312 , 49 , 0.347493085597 , 70 , 0.49641869371 , 12.7347259891 , 25.15 , Journal , 1
301770 , 6 , 14 , 15 , 16 , 22 , 24 , 26 , 12 , 10 , 18 , 1.56012245491 , 57.0 , 161.333333333 , 21.3333333333 , 9.233277791 , 0.333253987146 , 3.15485447678 , 142 , 278 , 45 , 7.58415841584 , 0.0234829109509 , 10 , 0.238038562247 , 19 , 0.452273268269 , 6.78475813254 , 8.94 , Conference , -1
311499 , 11 , 9 , 9 , 23 , 21 , 25 , 9 , 17 , 3 , 4 , 6.01193766382 , 306.6 , 137.2 , 31.8 , 8.96818904794 , 0.295387411952 , 15.3639800024 , 1260 , 217 , 82 , 3.35643564356 , 0.0224394578982 , 17 , 0.386275846399 , 25 , 0.568052715292 , 17.5281042005 , 7.61 , Conference , -1
803020 , 3 , 7 , 13 , 18 , 12 , 12 , 9 , 6 , 5 , 8 , 4.8069532652 , 162.333333333 , 74.3333333333 , 29.0 , 9.80460466525 , 0.393820054529 , 6.17931486642 , 377 , 117 , 61 , 8.68316831683 , 0.0296971478977 , 18 , 0.545289306271 , 21 , 0.636170857316 , 22.2177226643 , 3.59 , Journal , -1
278735 , 6 , 11 , 13 , 19 , 8 , 16 , 10 , 14 , 10 , 3 , 2.52080145034 , 88.6666666667 , 99.3333333333 , 15.6666666667 , 7.2962962963 , 0.295387411952 , 6.1651987622 , 259 , 157 , 42 , 13.9335548173 , 0.0640289300149 , 17 , 0.386275846399 , 24 , 0.54533060668 , 36.2857707408 , 0.77 , Conference , -1
303320 , 16 , 34 , 50 , 47 , 35 , 44 , 47 , 44 , 36 , 35 , 4.41566426586 , 513.5 , 451.25 , 70.0 , 14.5655546211 , 0.289692552098 , 10.7813601692 , 1682 , 1109 , 156 , 19.0873907615 , 0.0696461177289 , 38 , 0.355106999346 , 49 , 0.457901130735 , 15.224093494 , 6.89 , Journal , 1
1368283 , 27 , 31 , 57 , 77 , 102 , 134 , 130 , 169 , 170 , 178 , 12.7537437304 , 1387.0 , 610.666666667 , 61.0 , 6.29030107766 , 0.29996667037 , 28.3073160204 , 3935 , 1033 , 139 , 7.64025655537 , 0.370673379484 , 54 , 0.59993334074 , 72 , 0.799911120987 , 0 , 0 , Unknown , 1
663773 , 19 , 26 , 26 , 31 , 16 , 16 , 9 , 13 , 5 , 7 , 0.0 , 0.0 , 20.0 , 0.0 , 6.22521643702 , 0.536519936593 , 0.0 , 0 , 20 , 0 , 0.0 , 0.000121936349226 , 44 , 0.536519936593 , 56 , 0.682843555664 , 9.53013430223 , 2.75 , Conference , -1
286944 , 12 , 16 , 26 , 36 , 46 , 59 , 50 , 35 , 35 , 36 , 6.63553398101 , 341.666666667 , 118.333333333 , 39.6666666667 , 12.0957832198 , 0.289813070569 , 12.5898156826 , 622 , 257 , 85 , 0.0 , 0.000144906535285 , 19 , 0.275322417041 , 33 , 0.47819156644 , 47.9193001339 , 0.88 , Conference , 1
344289 , 4 , 6 , 7 , 8 , 14 , 13 , 17 , 9 , 13 , 18 , 2.23255042149 , 204.5 , 77.5 , 55.0 , 16.983016983 , 0.599400599401 , 3.86629844777 , 406 , 125 , 105 , 10.8956714761 , 0.473961073119 , 3 , 0.2997002997 , 3 , 0.2997002997 , 10.8187730244 , 13.93 , Journal , -1
